Amazon Turk ID,ProcessDataID,Experiment,Condition,Gender,Age,3. American Indian or Alaskan Native [Question: Which of the following best describes you? Select all that apply.],3. Asian or Asian American [Question: Which of the following best describes you? Select all that apply.],3. Black or African American [Question: Which of the following best describes you? Select all that apply.],3. Hispanic/Latino [Question: Which of the following best describes you? Select all that apply.],3. Native Hawaiian or Other Pacific Islander [Question: Which of the following best describes you? Select all that apply.],3. White [Question: Which of the following best describes you? Select all that apply.],4. Educational attainment,5. Undergraduate major field,5. Other (please specify): Specify [Question: Undergraduate major field],"6. Science (e.g., physics, chemistry, biology, geology) [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.]","6. Engineering (e.g., chemical, civil, electrical, mechanical) [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.]","6. Computer science (e.g., programming, interface design, data management) [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.]","6. Mathematics (e.g., calculus, statistics) [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.]",6. Education [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.],6. None of the above [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.],7. What is your first language?
A12723JDRPT207,A12723JDRPT20,1,2,Female,26,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,english
A12DY4HHG6MYF0,A12DY4HHG6MYF,1,3,Male,26,-,-,-,-,-,White,"Associate’s degree, academic","Humanities (e.g., literature, language, fine arts, law)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A12HZGOZQD5YK7,A12HZGOZQD5YK,1,5,Female,37,-,Asian or Asian American,-,-,-,White,"Associate’s degree, academic","Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1398SBKK3NZ0W,A1398SBKK3NZ0,1,4,Female,35,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,Elementary Education,-,-,-,-,Education,-,English
A13GGKMPBDKWX6,A13GGKMPBDKWX,1,2,Female,29,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A149ROBL26JWPJ,A149ROBL26JWP,1,1,Male,28,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1506T1PAYRT16,A1506T1PAYRT1,1,3,Female,36,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A15600V2C2TK1Y,A15600V2C2TK1,1,4,Female,33,-,-,Black or African American,-,-,-,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A15EZCN5OCG62W,A15EZCN5OCG62,1,3,Male,28,-,-,Black or African American,-,-,-,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A15JXW50UYKBGP,A15JXW50UYKBG,1,1,Female,28,-,-,-,-,-,White,"Associate’s degree, academic",No undergraduate major,,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,Education,-,English
A15Y215D57OSO5,A15Y215D57OSO,1,5,Male,30,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,business,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1601UNFFAAQOI,A1601UNFFAAQO,1,1,Female,32,-,-,Black or African American,-,-,-,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",Education,-,English
A16184N1RO5OJV,A16184N1RO5OJ,1,5,Female,38,-,Asian or Asian American,-,-,-,-,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,Indonesian
A16KMPWYUZO0M6,A16KMPWYUZO0M,1,2,Male,35,-,-,-,-,-,White,"Associate’s degree, academic","Science or related fields (e.g., physical science, technology, engineering)",,-,-,-,-,Education,-,English
A16UGMC1682375,A16UGMC168237,1,3,Female,29,-,-,Black or African American,-,-,-,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,-,-,-,-,-,None of the above,English
A17D6BK59S31BM,A17D6BK59S31B,1,4,Male,29,-,-,-,-,-,White,"Associate’s degree, academic","Humanities (e.g., literature, language, fine arts, law)",,-,-,-,-,-,None of the above,english
A17MUXOICSH29I,A17MUXOICSH29,1,4,Male,26,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,Criminal Justice,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A183WYXN12P2TJ,A183WYXN12P2T,1,5,Male,37,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A18G2CLYSTENK,A18G2CLYSTENK,1,2,Male,29,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,english
A1945USNZHTROX,A1945USNZHTRO,1,2,Male,38,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A19LVWX8ZLO6CS,A19LVWX8ZLO6C,1,5,Male,36,-,Asian or Asian American,-,-,-,-,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,english
A19TL7AJ0FB1JG,A19TL7AJ0FB1J,1,2,Female,28,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A1A2X0T1XE8K89,A1A2X0T1XE8K8,1,2,Male,28,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,english
A1AJWS2H14J8MQ,A1AJWS2H14J8M,1,1,Female,39,-,-,-,-,-,White,Master’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",Education,-,English
A1AQQFJAF8CI4H,A1AQQFJAF8CI4,1,2,Male,33,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,english
A1AVDOGQ7WXGJQ,A1AVDOGQ7WXGJ,1,2,Male,32,-,-,-,-,-,White,Bachelor’s degree,No undergraduate major,,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A1BEBN58T1E0TH,A1BEBN58T1E0T,1,3,Female,26,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,Education,-,English
A1BNR1ZAF1QGWG,A1BNR1ZAF1QGW,1,5,Male,33,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,-,-,-,-,-,None of the above,english
A1BVG13MHBM1YD,A1BVG13MHBM1Y,1,2,Female,40,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A1BZNPQ0H7ZSER,A1BZNPQ0H7ZSE,1,1,Male,36,-,-,-,-,-,White,Master’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,English
A1C7XI68SED8JE,A1C7XI68SED8J,1,3,Female,35,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,-,-,-,-,-,None of the above,english
A1CE3DR200PXSS,A1CE3DR200PXS,1,3,Female,38,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1CH3TODZNQCES,A1CH3TODZNQCE,1,1,Male,29,-,-,-,Hispanic/Latino,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)",-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1D2VXMTF0UALY,A1D2VXMTF0UAL,1,5,Female,34,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",education,-,-,-,-,Education,-,English
A1E1ZAHNCSVLIT,A1E1ZAHNCSVLI,1,5,Male,39,-,-,-,Hispanic/Latino,-,-,"Associate’s degree, academic","Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1E77HZO63E334,A1E77HZO63E33,1,5,Male,25,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1EBQ9X6IN5OZC,A1EBQ9X6IN5OZ,1,1,Female,31,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",Education,-,English
A1EN3FW93BSXQQ,A1EN3FW93BSXQ,1,4,Female,24,-,Asian or Asian American,-,-,-,-,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1EOORUJZZ8DDJ,A1EOORUJZZ8DD,1,2,Male,40,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,-,-,English
A1F46RJTOXQM4J,A1F46RJTOXQM4,1,1,Female,38,-,-,-,-,-,White,Master’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",Education,-,English
A1F4N58CAX8IMK,A1F4N58CAX8IM,1,5,Male,28,-,-,-,-,-,White,"Associate’s degree, academic",Other (please specify):,Business Admin,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,-,-,English
A1FI71PFT1MZ4T,A1FI71PFT1MZ4,1,3,Male,36,-,-,-,-,-,White,"Associate’s degree, academic",No undergraduate major,,-,-,-,-,-,None of the above,English
A1FLEFIVFT809G,A1FLEFIVFT809,1,4,Female,31,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,-,-,english
A1FOPF17E45428,A1FOPF17E4542,1,5,Female,31,-,-,-,-,-,White,Master’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,-,"Mathematics (e.g., calculus, statistics)",Education,-,English
A1FP3SH704X01V,A1FP3SH704X01,1,2,Female,29,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,english
A1FQK51ECARQNK,A1FQK51ECARQN,1,2,Female,39,-,Asian or Asian American,-,-,-,-,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,-,-,-,-,-,None of the above,English
A1FS8SBR4SDWYG,A1FS8SBR4SDWY,1,5,Female,32,-,-,-,-,-,White,Master’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",Education,-,English
A1FYWSPNO7KN1O,A1FYWSPNO7KN1,1,1,Male,38,-,-,-,-,-,White,Master’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1G364B3QV9OLT,A1G364B3QV9OL,1,3,Female,37,-,-,Black or African American,-,-,-,"Associate’s degree, academic","Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",Education,-,English
A1H6Z5NWOYPIH7,A1H6Z5NWOYPIH,1,2,Female,28,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1HKYY6XI2OHO1,A1HKYY6XI2OHO,1,1,Male,40,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A1I0IMY55Z55T9,A1I0IMY55Z55T,1,4,Female,34,-,-,-,-,-,-,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A1J8TVICSRC70W,A1J8TVICSRC70,1,4,Female,25,-,-,-,-,-,White,Bachelor’s degree,Mathematics,,-,"Engineering (e.g., chemical, civil, electrical, mechanical)",-,-,-,-,English
A1JTWL9C01VHVS,A1JTWL9C01VHV,1,2,Female,34,-,-,-,-,-,White,Bachelor’s degree,No undergraduate major,,-,-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1JV64BL3WCK0G,A1JV64BL3WCK0,1,5,Female,39,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,english
A1JZKK5H7M4V3,A1JZKK5H7M4V3,1,3,Female,34,-,-,-,-,-,White,Master’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,English
A1KGCOR8OXYR72,A1KGCOR8OXYR7,1,4,Male,33,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,english
A1KQWBK5WHCNYQ,A1KQWBK5WHCNY,1,5,Female,35,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",Education,-,English
A1KYILRX3BK5EX,A1KYILRX3BK5E,1,4,Male,32,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A1L1SQ488YCCFJ,A1L1SQ488YCCF,1,4,Female,36,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,english
A1L6PGLE7CIS12,A1L6PGLE7CIS1,1,2,Female,40,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,Bachelor of Science in Nursing,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1L8QPHQ2FAH0W,A1L8QPHQ2FAH0,1,4,Female,25,American Indian or Alaskan Native,-,Black or African American,Hispanic/Latino,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",Education,-,English
A1LEWF3XCAKF39,A1LEWF3XCAKF3,1,3,Male,30,-,Asian or Asian American,-,-,-,-,"Associate’s degree, occupational","Humanities (e.g., literature, language, fine arts, law)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,english
A1LOD3LNX7FUPJ,A1LOD3LNX7FUP,1,5,Male,35,-,-,-,-,-,White,"Associate’s degree, academic","Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A1M0G67QXRGH8M,A1M0G67QXRGH8,1,3,Male,36,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1M682B2WUSYJP,A1M682B2WUSYJ,1,5,Male,32,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1MCESL59XN0X6,A1MCESL59XN0X,1,5,Female,35,-,-,-,-,-,White,Master’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A1MRBBA2OLM223,A1MRBBA2OLM22,1,3,Female,29,-,-,-,-,-,White,Master’s degree,Other (please specify):,Elementary Education,-,-,-,"Mathematics (e.g., calculus, statistics)",Education,-,English
A1NKALTJ3MV9WE,A1NKALTJ3MV9W,1,1,Male,34,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,-,-,-,-,Education,-,English
A1NOHVLPYWB0TP,A1NOHVLPYWB0T,1,2,Female,33,-,-,Black or African American,-,-,-,"Associate’s degree, occupational","Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,None of the above,English
A1O81SOPKHK5RZ,A1O81SOPKHK5R,1,1,Female,34,-,-,-,-,-,White,"Associate’s degree, academic",No undergraduate major,,-,-,-,"Mathematics (e.g., calculus, statistics)",-,-,english
A1OPGPTQJ48XOY,A1OPGPTQJ48XO,1,2,Female,33,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1OQIXAU1SEJ4P,A1OQIXAU1SEJ4,1,4,Female,32,-,-,-,-,-,White,"Associate’s degree, occupational",No undergraduate major,,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1OSRAPSRT934Z,A1OSRAPSRT934,1,5,Female,29,-,-,Black or African American,-,-,-,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,English
A1P0XSCJ9XAV74,A1P0XSCJ9XAV7,1,3,Female,34,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,-,-,English
A1P6OXEJ86HQRM,A1P6OXEJ86HQR,1,1,Male,36,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1PJLZSOUQ4MIL,A1PJLZSOUQ4MI,1,5,Female,40,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A1PLB1NZOE2PQ7,A1PLB1NZOE2PQ,1,5,Male,35,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A1Q6BCD26I084Z,A1Q6BCD26I084,1,5,Male,31,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A1QEQOI98976S0,A1QEQOI98976S,1,3,Male,33,-,-,Black or African American,-,-,-,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A1QHVJMI5YNWQ9,A1QHVJMI5YNWQ,1,1,Male,29,-,-,-,Hispanic/Latino,-,White,Master’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1QKIA8XRNEXIG,A1QKIA8XRNEXI,1,2,Female,35,-,-,-,-,-,White,"Associate’s degree, occupational","Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1QVLNM0795FRM,A1QVLNM0795FR,1,2,Male,34,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,-,-,-,None of the above,english
A1QX1RYLCFXZJ9,A1QX1RYLCFXZJ,1,5,Female,37,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,Elementary Education,-,-,-,-,Education,-,English
A1R8RBXRU2T6HZ,A1R8RBXRU2T6H,1,5,Female,31,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",Education,-,English
A1RATFICCKLCQ,A1RATFICCKLCQ,1,2,Female,31,-,-,-,Hispanic/Latino,-,-,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",Education,None of the above,English
A1RTLF0OVZI4QT,A1RTLF0OVZI4Q,1,1,Male,34,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A1RUURPQJ14A8X,A1RUURPQJ14A8,1,1,Female,27,-,-,Black or African American,-,-,-,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A1S2NQYJGZ0C5F,A1S2NQYJGZ0C5,1,4,Male,38,-,-,-,-,-,White,Master’s degree,"Humanities (e.g., literature, language, fine arts, law)",,-,-,-,-,-,None of the above,English
A1TGV7LT6LTIQU,A1TGV7LT6LTIQ,1,2,Male,39,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1TLQ6BTDQX7US,A1TLQ6BTDQX7U,1,2,Female,38,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A1U37XNO6J1R9G,A1U37XNO6J1R9,1,4,Female,25,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",Education,-,English
A1U5BE8XJRXKW3,A1U5BE8XJRXKW,1,4,Male,37,-,-,-,-,-,White,"Associate’s degree, academic",Other (please specify):,Business,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1V91Z2CQKMR55,A1V91Z2CQKMR5,1,3,Male,26,-,-,-,-,-,White,"Associate’s degree, academic","Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,Education,-,english
A1VC6F0FYG1L5I,A1VC6F0FYG1L5,1,2,Female,35,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,General business,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1VCAMP3XM62R4,A1VCAMP3XM62R,1,2,Male,35,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A1VGC8ZJW3XTCQ,A1VGC8ZJW3XTC,1,5,Male,33,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,"Engineering (e.g., chemical, civil, electrical, mechanical)",-,-,-,-,English
